ID,EquipmentType,Sprites,Effects
string,EEquipmentType,List<string>,List<string>
Hair_Miku_001,Hair,Assets/Sprites/Character/Character_Miku.png=Character_Miku_Hair,
BackHair_Miku_001,BackHair,Assets/Sprites/Character/Character_Miku.png=Character_Miku_BackHair,
Head_Miku_001,Head,Assets/Sprites/Character/Character_Miku.png=Character_Miku_Head,
Face_Miku_001,Face,Assets/Sprites/Character/Character_Miku.png=Character_Miku_Eye,
UpperBody_Miku_001,UpperBody,Assets/Sprites/Character/Character_Miku.png=Character_Miku_UpperBody; Assets/Sprites/Character/Character_Miku.png=Character_Miku_RightArm; Assets/Sprites/Character/Character_Miku.png=Character_Miku_RightHand; Assets/Sprites/Character/Character_Miku.png=Character_Miku_LeftArm; Assets/Sprites/Character/Character_Miku.png=Character_Miku_LeftHand,
LowerBody_Miku_001,LowerBody,Assets/Sprites/Character/Character_Miku.png=Character_Miku_LowerBody; Assets/Sprites/Character/Character_Miku.png=Character_Miku_RightLeg; Assets/Sprites/Character/Character_Miku.png=Character_Miku_RightFoot; Assets/Sprites/Character/Character_Miku.png=Character_Miku_LeftLeg; Assets/Sprites/Character/Character_Miku.png=Character_Miku_LeftFoot,
BackHair_72mono70nai_001,BackHair,Assets/Sprites/Character/Character_72mono70nai.png=Character_72mono70nai_BackHair,
Face_72mono70nai_001,Face,Assets/Sprites/Character/Character_72mono70nai.png=Character_72mono70nai_Eye,
Hair_72mono70nai_001,Hair,Assets/Sprites/Character/Character_72mono70nai.png=Character_72mono70nai_Hair,
Head_72mono70nai_001,Head,Assets/Sprites/Character/Character_72mono70nai.png=Character_72mono70nai_Head,
UpperBody_72mono70nai_001,UpperBody,Assets/Sprites/Character/Character_72mono70nai.png=Character_72mono70nai_UpperBody; Assets/Sprites/Character/Character_72mono70nai.png=Character_72mono70nai_RightArm; Assets/Sprites/Character/Character_72mono70nai.png=Character_72mono70nai_RightHand; Assets/Sprites/Character/Character_72mono70nai.png=Character_72mono70nai_LeftArm; Assets/Sprites/Character/Character_72mono70nai.png=Character_72mono70nai_LeftHand,
LowerBody_72mono70nai_001,LowerBody,Assets/Sprites/Character/Character_72mono70nai.png=Character_72mono70nai_LowerBody; Assets/Sprites/Character/Character_72mono70nai.png=Character_72mono70nai_RightLeg; Assets/Sprites/Character/Character_72mono70nai.png=Character_72mono70nai_RightFoot; Assets/Sprites/Character/Character_72mono70nai.png=Character_72mono70nai_LeftLeg; Assets/Sprites/Character/Character_72mono70nai.png=Character_72mono70nai_LeftFoot,
Hair_Teto_001,Hair,Assets/Sprites/Character/Character_Teto.png=Character_Teto_Hair,
BackHair_Teto_001,BackHair,Assets/Sprites/Character/Character_Teto.png=Character_Teto_BackHair,
Head_Teto_001,Head,Assets/Sprites/Character/Character_Teto.png=Character_Teto_Head,
Face_Teto_001,Face,Assets/Sprites/Character/Character_Teto.png=Character_Teto_Eye,
UpperBody_Teto_001,UpperBody,Assets/Sprites/Character/Character_Teto.png=Character_Teto_UpperBody; Assets/Sprites/Character/Character_Teto.png=Character_Teto_RightArm; Assets/Sprites/Character/Character_Teto.png=Character_Teto_RightHand; Assets/Sprites/Character/Character_Teto.png=Character_Teto_LeftArm; Assets/Sprites/Character/Character_Teto.png=Character_Teto_LeftHand,
LowerBody_Teto_001,LowerBody,Assets/Sprites/Character/Character_Teto.png=Character_Teto_LowerBody; Assets/Sprites/Character/Character_Teto.png=Character_Teto_RightLeg; Assets/Sprites/Character/Character_Teto.png=Character_Teto_RightFoot; Assets/Sprites/Character/Character_Teto.png=Character_Teto_LeftLeg; Assets/Sprites/Character/Character_Teto.png=Character_Teto_LeftFoot,
Hair_Neru_001,Hair,Assets/Sprites/Character/Character_Neru.png=Character_Neru_Hair,
BackHair_Neru_001,BackHair,Assets/Sprites/Character/Character_Neru.png=Character_Neru_BackHair,
Head_Neru_001,Head,Assets/Sprites/Character/Character_Neru.png=Character_Neru_Head,
Face_Neru_001,Face,Assets/Sprites/Character/Character_Neru.png=Character_Neru_Eye,
UpperBody_Neru_001,UpperBody,Assets/Sprites/Character/Character_Neru.png=Character_Neru_UpperBody; Assets/Sprites/Character/Character_Neru.png=Character_Neru_RightArm; Assets/Sprites/Character/Character_Neru.png=Character_Neru_RightHand; Assets/Sprites/Character/Character_Neru.png=Character_Neru_LeftArm; Assets/Sprites/Character/Character_Neru.png=Character_Neru_LeftHand,
LowerBody_Neru_001,LowerBody,Assets/Sprites/Character/Character_Neru.png=Character_Neru_LowerBody; Assets/Sprites/Character/Character_Neru.png=Character_Neru_RightLeg; Assets/Sprites/Character/Character_Neru.png=Character_Neru_RightFoot; Assets/Sprites/Character/Character_Neru.png=Character_Neru_LeftLeg; Assets/Sprites/Character/Character_Neru.png=Character_Neru_LeftFoot,
